Dish Name,Price,Url_of_the_food_Item
Pepper Chicken Superbowl,₹149,https://www.freshmenu.com/pan_asian_rooster_chicken_superbowl/product/14671
Mushroom Veloute Chicken Superbowl,₹149,https://www.freshmenu.com/continental_strip_steak_cheesey_mushroom_superbowl/product/14674
Chicken Maryland Superbowl,₹149,https://www.freshmenu.com/continental_pepper_chicken_superbowl/product/14675
Ghee Roast Chicken Superbowl,₹149,https://www.freshmenu.com/continental_mushroom_veloute_chicken_superbowl/product/14677
Gomashio Crispy Chicken Superbowl,₹149,https://www.freshmenu.com/mexican_chicken_maryland_superbowl/product/14669
Veggie Melange Superbowl,₹339,https://www.freshmenu.com/indian_ghee_roast_chicken_superbowl/product/14676
Chunky Chicken Schezwan Noodles,₹149,https://www.freshmenu.com/asian_gomashio_crispy_chicken_superbowl/product/13577
Dragon Noodles with Dumplings,₹149,https://www.freshmenu.com/mexican_veggie_melange_superbowl/product/14673
Dan Dan Chicken Noodles,₹149,https://www.freshmenu.com/asian_chunky_chicken_schezwan_noodles/product/13001
Shanghai Chicken Noodles,₹149,https://www.freshmenu.com/pan_asian_dragon_noodles_with_dumplings/product/5886
Mixed Veg Hakka Noodles,₹149,https://www.freshmenu.com/pan_asian_dan_dan_chicken_noodles/product/10378
K-Pop Chicken Noodle Bowl,₹149,https://www.freshmenu.com/asian_shanghai_chicken_noodles/product/11821
Chilli Paneer Noodle Bowl,₹149,https://www.freshmenu.com/pan_asian_mixed_veg_hakka_noodles/product/10348
Korean BBQ Noodle Bowl,₹149,https://www.freshmenu.com/asian_k_pop_chicken_noodle_bowl/product/13257
Paneer Manchurian Noodle Bowl,₹149,https://www.freshmenu.com/pan_asian_chilli_paneer_noodle_bowl/product/12030
Pan Asian Egg Chicken Chowmein,₹149,https://www.freshmenu.com/asian_korean_bbq_noodle_bowl/product/13146
Spicy Satay Chicken Ramen,₹149,https://www.freshmenu.com/asian_paneer_manchurian_noodle_bowl/product/13703
Taiwanese Chicken Ramen,₹149,https://www.freshmenu.com/pan_asian_pan_asian_egg_chicken_chowmein/product/10383
Cilantro Lime Ramen,₹149,https://www.freshmenu.com/continental_spicy_satay_chicken_ramen/product/14423
American Lo Mein,₹149,https://www.freshmenu.com/continental_taiwanese_chicken_ramen/product/14425
Lucky 5 Noodle Bowl,₹149,https://www.freshmenu.com/chinese_cilantro_lime_ramen/product/14429
Chicken Jajangmyeon Noodle Bowl,₹149,https://www.freshmenu.com/pan_asian_american_lo_mein/product/10338
Black Pepper Honey Chicken Noodles,₹149,https://www.freshmenu.com/asian_lucky_5_noodle_bowl/product/13143
Schezwan Burnt Garlic Ramen,₹149,https://www.freshmenu.com/asian_chicken_jajangmyeon_noodle_bowl/product/14126
Honey Soy Stir Fry Ramen,₹149,https://www.freshmenu.com/pan_asian_black_pepper_honey_chicken_noodles/product/10380
Chilli Garlic Chicken Noodles,₹149,https://www.freshmenu.com/chinese_schezwan_burnt_garlic_ramen/product/14432
Coqfighter Chicken Bowl,₹149,https://www.freshmenu.com/continental_honey_soy_stir_fry_ramen/product/14427
Teriyaki Chicken Noodle Bowl,₹149,https://www.freshmenu.com/pan_asian_chilli_garlic_chicken_noodles/product/11153
Minced Chicken Sisig Bowl,₹149,https://www.freshmenu.com/asian_coqfighter_chicken_bowl/product/13331
Pan Fried Canton Veg Noodles,₹149,https://www.freshmenu.com/pan_asian_teriyaki_chicken_noodle_bowl/product/10855
Asian Black Pepper Chicken Rice Bowl,₹149,https://www.freshmenu.com/asian_minced_chicken_sisig_bowl/product/14892
Sesame Paneer Curried Noodle Bowl,₹149,https://www.freshmenu.com/asian_pan_fried_canton_veg_noodles/product/14896
Park Street Chili Paneer Noodles,₹149,https://www.freshmenu.com/asian_asian_black_pepper_chicken_rice_bowl/product/14894
Greedy Chicken Curry Bowl,₹149,https://www.freshmenu.com/asian_sesame_paneer_curried_noodle_bowl/product/14898
Keto Peri Peri Grilled Chicken Steak,₹149,https://www.freshmenu.com/asian_park_street_chili_paneer_noodles/product/14902
Keto Cheesy Chicken Steak,₹149,https://www.freshmenu.com/asian_greedy_chicken_curry_bowl/product/14900
Mini Chicken Caesar Salad,₹149,https://www.freshmenu.com/continental_keto_peri_peri_grilled_chicken_steak/product/5803
Chicken Caesar Salad,₹79,https://www.freshmenu.com/continental_keto_cheesy_chicken_steak/product/11490
Maxi Protein Salad,₹149,https://www.freshmenu.com/continental_mini_chicken_caesar_salad/product/14821
Chicken Tikka Salad,₹149,https://www.freshmenu.com/continental_chicken_caesar_salad/product/13550
Paneer Tikka Veggie Delight,₹149,https://www.freshmenu.com/continental_maxi_protein_salad/product/13397
Chick n Egg Protien Salad,₹149,https://www.freshmenu.com/continental_chicken_tikka_salad/product/12884
BBQ Chicken Super Salad,₹149,https://www.freshmenu.com/continental_paneer_tikka_veggie_delight/product/12895
Mini Corn Cucumber Bean Salad,₹149,https://www.freshmenu.com/continental_chick_n_egg_protien_salad/product/12883
Keto Club Chicken Salad,₹79,https://www.freshmenu.com/continental_bbq_chicken_super_salad/product/12892
Mini Peri Peri Chicken Salad,₹149,https://www.freshmenu.com/continental_mini_corn_cucumber_bean_salad/product/13351
Peri Peri Chicken Salad,₹79,https://www.freshmenu.com/continental_keto_club_chicken_salad/product/8648
Mini BBQ-ed Chicken Salad,₹149,https://www.freshmenu.com/continental_mini_peri_peri_chicken_salad/product/14822
BBQ Ranch Chicken Salad,₹79,https://www.freshmenu.com/continental_peri_peri_chicken_salad/product/12894
Mexican Paneer Pomo Salad,₹149,https://www.freshmenu.com/continental_mini_bbq_ed_chicken_salad/product/13353
Russian Chicken Salad,₹149,https://www.freshmenu.com/continental_bbq_ranch_chicken_salad/product/13413
Thai Double Protien Salad,₹149,https://www.freshmenu.com/continental_mexican_paneer_pomo_salad/product/12885
Mexican Fiesta Salad,₹149,https://www.freshmenu.com/continental_russian_chicken_salad/product/14624
Turkish Cottage Cheese And Chickpea Salad,₹149,https://www.freshmenu.com/asian_thai_double_protien_salad/product/14619
Dijon Veggie Salad,₹149,https://www.freshmenu.com/mexican_mexican_fiesta_salad/product/14618
Summer Cooler Salad,₹149,https://www.freshmenu.com/continental_turkish_cottage_cheese_and_chickpea_salad/product/12891
Cream-Of Spinach Corn Soup,₹149,https://www.freshmenu.com/continental_dijon_veggie_salad/product/14628
